"SAMPLE DATA - invented players and values, for development only"
12 teams,$200 budget,PPR
Rank,Player,Team,Pos,Value,Pos Rank,Proj,Tier,Bye
1,Aaron Bramford,ARI,RB,$62,1,320.0,1,5
2,Marcus Bramwood,ATL,RB,$58,2,316.0,1,6
3,Cameron Garrridge,CIN,WR,$58,1,320.0,1,10
4,Devin Bramton,BAL,RB,$55,3,312.0,1,7
5,Elijah Garrwell,CLE,WR,$55,2,316.4,1,11
6,Trey Bramley,BUF,RB,$52,4,308.0,1,8
7,Tyler Halford,DAL,WR,$52,3,312.8,1,12
8,Jalen Bramson,CAR,RB,$49,5,304.0,1,9
9,Brandon Halwood,DEN,WR,$49,4,309.2,1,13
10,Darius Halton,DET,WR,$47,5,305.6,1,14
11,Caleb Bramfield,CHI,RB,$46,6,300.0,1,10
12,Kenneth Halley,GB,WR,$44,6,302.1,1,15
13,Isaiah Bramworth,CIN,RB,$43,7,296.0,1,11
14,Rashad Halson,HOU,WR,$42,7,298.5,1,16
15,Malik Brambury,CLE,RB,$41,8,292.0,1,12
16,Terrell Halfield,IND,WR,$40,8,294.9,1,17
17,Xavier Bramstone,DAL,RB,$39,9,288.0,2,13
18,Silas Orrson,MIN,QB,$38,1,320.0,1,10
19,Amari Halworth,JAX,WR,$38,9,291.3,1,5
20,Jordan Bramdale,DEN,RB,$36,10,284.0,2,14
21,Deonte Halbury,KC,WR,$36,10,287.7,2,6
22,Cameron Bramridge,DET,RB,$34,11,280.0,2,15
23,Josiah Halstone,LAC,WR,$34,11,284.1,2,7
24,Emory Orrfield,NE,QB,$33,2,310.7,1,11
25,Elijah Bramwell,GB,RB,$32,12,276.0,2,16
26,Cedric Haldale,LAR,WR,$32,12,280.5,2,8
27,Bryce Halridge,LV,WR,$31,13,276.9,2,9
28,Tyler Caldford,HOU,RB,$30,13,272.0,2,17
29,Aaron Orrworth,NO,QB,$29,3,301.3,1,12
30,Brandon Caldwood,IND,RB,$29,14,268.0,2,5
31,Nico Halwell,MIA,WR,$29,14,273.3,2,10
32,Silas Quinridge,LV,TE,$28,1,320.0,1,14
33,Quentin Ivesford,MIN,WR,$28,15,269.7,2,11
34,Darius Caldton,JAX,RB,$27,15,264.0,2,6
35,Rome Iveswood,NE,WR,$26,16,266.2,2,12
36,Marcus Orrbury,NYG,QB,$25,4,292.0,2,13
37,Kenneth Caldley,KC,RB,$25,16,260.0,2,7
38,Dallas Iveston,NO,WR,$25,17,262.6,2,13
39,Rashad Caldson,LAC,RB,$24,17,256.0,3,8
40,Emory Quinwell,MIA,TE,$24,2,310.7,1,15
41,Terrell Caldfield,LAR,RB,$23,18,252.0,3,9
42,Kyren Ivesley,NYG,WR,$23,18,259.0,2,14
43,Devin Orrstone,NYJ,QB,$22,5,282.7,2,14
44,Silas Ivesson,NYJ,WR,$22,19,255.4,3,15
45,Amari Caldworth,LV,RB,$21,19,248.0,3,10
46,Aaron Randford,MIN,TE,$21,3,301.3,1,16
47,Emory Ivesfield,PHI,WR,$21,20,251.8,3,16
48,Deonte Caldbury,MIA,RB,$20,20,244.0,3,11
49,Aaron Ivesworth,PIT,WR,$20,21,248.2,3,17
50,Trey Orrdale,PHI,QB,$19,6,273.3,2,15
51,Josiah Caldstone,MIN,RB,$19,21,240.0,3,12
52,Marcus Ivesbury,SEA,WR,$19,22,244.6,3,5
53,Cedric Calddale,NE,RB,$18,22,236.0,3,13
54,Marcus Randwood,NE,TE,$18,4,292.0,2,17
55,Devin Ivesstone,SF,WR,$18,23,241.0,3,6
56,Bryce Caldridge,NO,RB,$17,23,232.0,3,14
57,Trey Ivesdale,TB,WR,$17,24,237.4,3,7
58,Jalen Orrridge,PIT,QB,$16,7,264.0,3,16
59,Nico Caldwell,NYG,RB,$16,24,228.0,3,15
60,Devin Randton,NO,TE,$16,5,282.7,2,5
61,Jalen Ivesridge,TEN,WR,$16,25,233.8,3,8
62,Quentin Dorford,NYJ,RB,$15,25,224.0,4,16
63,Caleb Iveswell,WAS,WR,$15,26,230.3,3,9
64,Isaiah Kellford,ARI,WR,$15,27,226.7,3,10
65,Caleb Orrwell,SEA,QB,$14,8,254.7,3,17
66,Rome Dorwood,PHI,RB,$14,26,220.0,4,17
67,Trey Randley,NYG,TE,$14,6,273.3,2,6
68,Malik Kellwood,ATL,WR,$14,28,223.1,4,11
69,Dallas Dorton,PIT,RB,$13,27,216.0,4,5
70,Xavier Kellton,BAL,WR,$13,29,219.5,4,12
71,Isaiah Prenford,SF,QB,$12,9,245.3,3,5
72,Kyren Dorley,SEA,RB,$12,28,212.0,4,6
73,Silas Dorson,SF,RB,$12,29,208.0,4,7
74,Jalen Randson,NYJ,TE,$12,7,264.0,3,7
75,Cameron Kellson,CAR,WR,$12,31,212.3,4,14
76,Jordan Kellley,BUF,WR,$12,30,215.9,4,13
77,Malik Prenwood,TB,QB,$11,10,236.0,4,6
78,Emory Dorfield,TB,RB,$11,30,204.0,4,8
79,Elijah Kellfield,CHI,WR,$11,32,208.7,4,15
80,Tyler Kellworth,CIN,WR,$11,33,205.1,4,16
81,Aaron Dorworth,TEN,RB,$10,31,200.0,4,9
82,Marcus Dorbury,WAS,RB,$10,32,196.0,4,10
83,Caleb Randfield,PHI,TE,$10,8,254.7,3,8
84,Brandon Kellbury,CLE,WR,$10,34,201.5,4,17
